exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor,Area,Peak Power,Total Leakage,Peak Dynamic,Subthreshold Leakage,Gate Leakage,Runtime Dynamic,ipc,branch_misprediction_rate,icache_miss_rate,dcache_read_miss_rate,dcache_write_miss_rate
62,1,1,64,128,2,2048,2,2,4,2,8,64,128,16,16,TAGE_SC_L_64KB,111.4503,35.9215,18.4702,15.8634,17.3916,1.1736,3.1365,0.7993,0.0553,0.0098,0.0124,0.0101
63,1,3.6,32,32,2,256,4,12,8,8,4,32,64,64,64,MultiperspectivePerceptron64KB,128.8067,131.978,17.2642,110.8727,16.2893,1.2555,18.4302,0.7592,0.122,0.0078,0.0166,0.0104
64,1,2,16,16,4,128,8,4,2,4,2,192,16,8,32,BiModeBP,74.9179,50.05,16.3732,29.4861,15.1985,1.1593,6.2628,0.7437,0.0729,0.0116,0.0718,0.0106
65,1,3.4,16,64,1,128,4,12,2,12,8,128,64,32,64,TAGE,105.4783,144.16,17.602,119.2516,16.3353,1.3058,21.0619,0.7435,0.056,0.0112,0.0159,0.0102
66,1,1.8,64,16,4,1024,2,4,12,2,12,64,16,32,16,BiModeBP,143.8442,77.6398,17.7173,57.4177,16.6042,1.1852,6.5259,0.7475,0.0728,0.0095,0.0849,0.0106
67,1,4,16,16,8,2048,16,12,8,2,2,192,96,8,8,TAGE,131.1918,102.731,18.2174,78.0974,17.219,1.1749,10.7693,0.6295,0.0558,0.0087,0.0929,0.0106
68,1,1.4,64,128,1,128,4,4,4,4,8,64,64,32,8,TournamentBP,85.2759,43.6254,16.873,24.2056,15.7387,1.1845,5.732,0.9726,0.0675,0.0099,0.0125,0.01
69,1,1.4,16,32,8,256,4,8,12,2,2,64,96,8,8,LocalBP,127.951,58.9578,16.609,40.9188,15.4985,1.1598,5.2951,0.7706,0.081,0.0082,0.0247,0.0104
70,1,2.6,16,128,1,2048,2,12,8,4,2,32,64,16,64,MultiperspectivePerceptron64KB,145.1877,82.1718,18.7002,60.532,17.7507,1.2147,9.6682,0.755,0.1247,0.0084,0.0089,0.01
71,1,3,128,128,1,256,16,2,4,8,12,32,64,16,8,TAGE,99.6551,97.9334,17.5734,73.9294,16.4003,1.2531,13.2535,0.6694,0.0562,0.0096,0.0096,0.0101
72,1,2.6,64,32,1,2048,16,2,8,2,8,256,64,64,32,TAGE,131.9628,74.9254,18.3711,52.5439,17.3584,1.1789,7.533,0.7296,0.0562,0.0101,0.0255,0.0104
73,1,1.4,128,16,4,1024,8,2,12,12,8,32,96,64,32,TAGE_SC_L_64KB,196.9656,104.724,18.9509,88.3891,17.901,1.3474,10.0952,0.7349,0.0553,0.0096,0.0693,0.0106
74,1,1,16,64,1,256,8,8,4,8,8,64,96,16,64,TAGE_SC_L_64KB,97.9828,44.5719,17.2168,25.9369,16.0738,1.2431,6.4717,1.0954,0.0553,0.0108,0.0134,0.0102
75,1,1.4,32,64,8,1024,2,12,12,4,2,256,32,8,64,TournamentBP,155.932,70.9509,18.0429,53.382,17.0024,1.2181,7.0138,0.8834,0.0675,0.0091,0.0146,0.0102
76,1,3.8,16,32,4,1024,16,8,8,8,2,192,16,8,8,BiModeBP,120.202,142.986,18.1401,117.0702,16.9291,1.254,18.0396,0.6915,0.0728,0.0112,0.0199,0.0104
77,1,4,64,128,8,128,16,4,12,12,2,192,64,32,64,TAGE_SC_L_64KB,191.1625,257.158,18.0729,234.7325,17.0441,1.3348,28.1676,0.74,0.0545,0.0102,0.0168,0.01
78,1,1.2,16,32,4,512,8,4,8,2,12,128,96,64,8,TAGE_SC_L_64KB,113.1669,42.426,16.8036,26.0337,15.8427,1.166,4.33,0.8343,0.0548,0.01,0.0262,0.0104
79,1,3.4,64,64,1,2048,16,8,2,8,8,128,96,8,8,MultiperspectivePerceptron64KB,117.7604,109.383,19.0162,82.7678,17.8348,1.2603,15.4305,0.6687,0.1093,0.0082,0.0151,0.0102
80,1,3.4,128,128,8,2048,16,8,4,12,4,256,128,8,32,MultiperspectivePerceptron64KB,148.4188,166.201,19.9406,138.6353,18.7365,1.3414,25.5582,0.8594,0.1158,0.0079,0.0143,0.01
81,1,3.4,64,16,2,256,16,8,12,12,8,128,32,8,32,TAGE_SC_L_64KB,188.0555,217.018,18.0062,196.9639,16.981,1.3367,25.4458,0.8139,0.0548,0.0096,0.0882,0.0106
82,1,3.6,128,32,2,1024,8,12,8,4,8,256,64,64,64,LocalBP,109.217,105.249,17.8154,80.5301,16.6363,1.2044,16.2383,0.9045,0.0806,0.0081,0.0265,0.0104
83,1,1.8,16,128,2,1024,4,2,2,4,12,64,32,64,16,LocalBP,88.8076,50.2092,17.6163,28.4803,16.4009,1.1843,5.894,0.7471,0.0812,0.0107,0.0131,0.0101
84,1,1.6,32,128,1,512,16,2,4,4,12,128,64,64,8,LocalBP,89.911,48.0208,17.1548,27.4386,15.9571,1.1841,5.6896,0.7549,0.0812,0.0098,0.0148,0.0101
85,1,3.2,32,64,8,128,2,12,2,8,12,64,16,16,64,TournamentBP,88.1077,94.8099,17.1322,71.3374,15.9098,1.2436,14.3901,0.7238,0.0675,0.01,0.0109,0.0102
86,1,2.8,16,64,8,128,16,2,12,8,4,192,128,32,16,TAGE,166.6337,144.933,17.239,126.8981,16.2534,1.2582,15.6389,0.7218,0.0562,0.0113,0.0167,0.0102
87,1,1.4,128,64,1,512,8,2,4,8,2,128,96,64,8,MultiperspectivePerceptron64KB,105.5186,55.7222,17.6535,35.8349,16.549,1.2457,6.9301,0.7559,0.0994,0.0091,0.0156,0.0102
88,1,1.4,16,16,4,1024,16,2,8,12,2,192,64,16,16,LocalBP,133.656,83.8009,18.5592,62.3907,17.2535,1.3128,9.5154,0.7523,0.0813,0.0108,0.0853,0.0106
89,1,3.8,128,64,8,2048,16,2,12,12,2,192,16,64,64,MultiperspectivePerceptron64KB,231.4273,243.71,19.973,220.7874,19.0119,1.3579,23.8291,0.6356,0.0991,0.0092,0.0108,0.0102
90,1,4,64,16,4,2048,2,12,8,2,12,192,128,16,32,BiModeBP,124.262,109.832,18.5196,82.8984,17.3733,1.1881,12.5908,0.6552,0.0731,0.0075,0.0987,0.0106
91,1,2.4,64,32,8,1024,16,4,4,2,8,32,32,32,8,LocalBP,88.8485,57.031,17.3013,34.4634,16.1342,1.154,5.8724,0.7059,0.081,0.0086,0.019,0.0104
92,1,2.6,64,32,4,256,2,4,2,2,4,192,96,8,16,TAGE_SC_L_64KB,75.8241,55.2012,16.4215,33.524,15.3367,1.1399,6.3304,0.7433,0.0552,0.0093,0.025,0.0104
93,1,2.4,128,16,2,256,4,4,4,4,4,128,128,32,32,LocalBP,83.3691,61.8055,16.7886,39.9301,15.6035,1.1742,9.1779,0.8927,0.081,0.0097,0.1066,0.0106
94,1,2.8,16,32,2,2048,8,4,2,4,8,192,96,32,32,MultiperspectivePerceptron64KB,104.9584,70.5368,18.3383,45.5161,17.2219,1.19,9.2735,0.7458,0.104,0.0103,0.025,0.0104
95,1,2,128,128,8,256,16,8,4,12,8,192,64,16,8,BiModeBP,114.7437,98.8133,18.2677,75.596,16.9362,1.3223,15.304,0.9605,0.0728,0.0095,0.0145,0.01
96,1,3.4,64,16,2,512,8,2,2,8,12,128,16,16,64,TAGE_SC_L_64KB,94.622,101.03,17.4033,76.775,16.2201,1.2394,14.3366,0.6467,0.0551,0.0101,0.0705,0.0106
97,1,3.6,64,32,2,128,16,12,12,12,8,128,32,64,32,LocalBP,157.823,228.27,17.901,203.1926,16.622,1.3295,28.0247,0.8524,0.081,0.0086,0.0243,0.0104
98,1,3.8,32,64,8,2048,4,4,2,12,4,32,16,64,16,BiModeBP,129.3771,153.267,19.5343,124.3826,18.1918,1.3169,20.4656,0.6771,0.073,0.0105,0.0099,0.0102
99,1,3.4,64,128,2,512,8,12,2,12,12,32,128,8,8,MultiperspectivePerceptron64KB,115.2544,153.214,18.2957,127.408,17.0515,1.3239,20.6891,0.6523,0.119,0.0076,0.0088,0.0101
100,1,2.6,16,32,1,256,2,12,12,2,2,64,64,16,16,TAGE_SC_L_64KB,156.8886,94.9672,16.6257,78.3514,15.7644,1.1719,9.0672,0.7505,0.055,0.0086,0.0242,0.0104
101,1,3.2,64,128,2,1024,2,12,2,2,2,32,64,16,64,TAGE,86.8209,67.1119,17.4801,42.5534,16.3585,1.1586,7.4748,0.7126,0.0559,0.009,0.0097,0.0101
102,1,2.6,32,128,2,1024,2,2,4,8,2,256,64,32,8,TAGE,108.2265,89.0902,18.1579,65.2088,16.9876,1.247,12.0543,0.7141,0.0562,0.0102,0.0148,0.0101
103,1,2.8,128,64,8,256,2,2,4,2,4,128,128,8,32,TAGE_SC_L_64KB,85.128,61.7681,16.6693,39.8411,15.6235,1.1513,6.7447,0.7024,0.0553,0.0098,0.0152,0.0102
104,1,2.6,64,32,8,128,2,8,12,8,4,256,16,32,8,LocalBP,140.996,131.951,17.2833,109.6408,16.0737,1.2544,15.767,0.8324,0.0811,0.0088,0.0202,0.0104
105,1,1,16,64,2,512,4,8,8,2,4,192,16,32,16,TAGE,110.9457,37.7534,16.8345,21.4448,15.8472,1.1613,3.564,0.8501,0.0559,0.0097,0.0114,0.0102
106,1,3.8,128,16,1,2048,2,8,8,12,8,64,16,8,16,LocalBP,151.739,189.04,19.7593,159.7514,18.4286,1.3387,24.2017,0.7373,0.0811,0.0084,0.0737,0.0106
107,1,3.4,128,32,2,2048,8,4,4,8,8,32,32,8,64,MultiperspectivePerceptron64KB,125.5258,108.672,19.0896,82.7135,17.9682,1.2655,15.5132,0.7523,0.1108,0.0086,0.0171,0.0104
108,1,3.4,128,64,4,1024,2,4,12,2,4,128,64,8,32,TournamentBP,154.526,132.251,17.9793,109.8427,16.9768,1.1921,11.1336,0.7,0.0674,0.0085,0.0157,0.0102
109,1,2.2,32,16,4,128,8,2,8,8,4,64,64,32,8,LocalBP,105.5196,87.2749,17.0117,65.889,15.7935,1.2355,10.438,0.6879,0.0811,0.0098,0.0836,0.0106
110,1,2.4,32,16,2,128,8,12,2,4,12,192,32,16,32,MultiperspectivePerceptron64KB,77.6292,58.4741,16.45,37.2365,15.3569,1.1777,8.2078,0.7253,0.1209,0.0082,0.0799,0.0106
111,1,3,16,16,2,512,16,12,2,4,4,128,16,64,32,BiModeBP,81.5803,68.8578,16.8612,45.3528,15.6706,1.1723,9.1603,0.7028,0.0729,0.0117,0.0704,0.0106
112,1,1.6,64,32,8,2048,2,2,12,8,12,128,96,16,16,TournamentBP,183.549,99.6561,19.5013,79.5784,18.3775,1.2933,9.6091,0.7755,0.0675,0.0099,0.0246,0.0104
113,1,3.4,128,32,1,512,2,8,8,4,4,256,16,8,8,TAGE_SC_L_64KB,117.4647,96.3927,17.1964,75.1346,16.2123,1.1967,12.7297,0.7977,0.0549,0.0089,0.0205,0.0104
